basePrice,batterySize,capacities,frontCamera,memory,opSys,pricing,rearCamera,released,screen,screenRes,screenType,sensors,title
,Non-removable Li-Ion 3430 mAh battery,,"5.1 MP, f/2.4",32GB 3GB RAM,"Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat)",,"23 MP, f/2.0, 24mm (wide), 1/2.3"", PDAF","2015, September","5.5 inches, 82.4 cm, (~70.4% screen-to-body ratio)","2160 x 3840 pixels, 16:9 ratio (~806 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",Sony Xperia Z5 Premium
,Non-removable Li-Ion 3430 mAh battery,,"5.1 MP, f/2.4",32GB 3GB RAM,"Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat)",,"23 MP, f/2.0, 24mm (wide), 1/2.3"", PDAF","2015, September","5.5 inches, 83.4 cm, (~71.3% screen-to-body ratio)","2160 x 3840 pixels, 16:9 ratio (~801 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",Sony Xperia Z5 Premium Dual
,Non-removable Li-Po 6000 mAh battery,,5.1 MP,32GB 3GB RAM,"Android 5.0 (Lollipop), upgradable to 6.0 (Marshmallow)",,"8.1 MP, AF","2015, March","10.1 inches, 295.8 cm, (~69.7% screen-to-body ratio)","2560 x 1600 pixels, 16:10 ratio (~299 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, compass",Sony Xperia Z4 Tablet WiFi
,Non-removable Li-Ion 2400 mAh battery,,5 MP,"8GB 2GB RAM, 16GB 2GB RAM (E2306)","Android 5.0.1 (Lollipop), upgradable to 6.0.1 (Marshmallow)",,"13 MP, f/2.0, AF","2015, March","5.0 inches, 68.9 cm, (~65.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Sony Xperia M4 Aqua
,Non-removable Li-Ion 2400 mAh battery,,5 MP,"8GB 2GB RAM, 16GB 2GB RAM (E2333,E2363)","Android 5.0 (Lollipop), upgradable to 6.0 (Marshmallow)",,"13 MP, f/2.0, AF","2015, March","5.0 inches, 68.9 cm, (~65.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Sony Xperia M4 Aqua Dual
,Non-removable Li-Ion 2600 mAh battery,,"5 MP, f/2.2",16GB 2GB RAM,"Android 5.0 (Lollipop), upgradable to 6.0 (Marshmallow)",,"13 MP, f/2.0, AF","2015, May","5.5 inches, 83.4 cm, (~71.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Sony Xperia C4
,Non-removable Li-Ion 2600 mAh battery,,"5 MP, f/2.2",16GB 2GB RAM,"Android 5.0 (Lollipop), upgradable to 6.0 (Marshmallow)",,"13 MP, f/2.0, AF","2015, May","5.5 inches, 83.4 cm, (~71.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Sony Xperia C4 Dual
,Non-removable Li-Ion 2930 mAh battery,,"5.1 MP, f/2.4",32GB 3GB RAM,"Android 5.0.1 (Lollipop), upgradable to 7.0 (Nougat)",,"20.7 MP, f/2.0, 25mm (wide), 1/2.3"", 1.12µm, AF","2015, May","5.2 inches, 74.5 cm, (~70.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass, barometer",Sony Xperia Z3+
,Non-removable Li-Ion 2930 mAh battery,,"5.1 MP, f/2.4",32GB 3GB RAM,"Android 5.0 (Lollipop), upgradable to 6.0 (Marshmallow)",,"20.7 MP, f/2.0, 25mm (wide), 1/2.3"", 1.12µm, AF","2015, May","5.2 inches, 73.2 cm, (~69.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~428 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass, barometer",Sony Xperia Z3+ dual
,Non-removable Li-Ion 3000 mAh battery,,5.1 MP,32GB 3GB RAM,Android 5.0 (Lollipop),,"20.7 MP, 1/2.3"", AF","2015, June","5.2 inches, 74.5 cm, (~71.4% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~565 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass, barometer",Sony Xperia Z4v
,Non-removable Li-Ion 2300 mAh battery,,VGA,8GB 1GB RAM,"Android 4.4.2 (KitKat), upgradable to 5.1.1 (Lollipop)",,"8 MP, f/2.4, AF","2014, August","4.8 inches, 63.5 cm, (~63.0% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~229 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Sony Xperia M2 Aqua
,Non-removable Li-Ion 2600 mAh battery,,"2.2 MP, f/2.8",16GB 2GB RAM,"Android 4.4.4 (KitKat), upgradable to 6.0 (Marshmallow)",,"20.7 MP, f/2.0, 25mm (wide), 1/2.3"", 1.12µm, AF","2014, September","4.6 inches, 58.3 cm, (~70.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~319 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass, barometer",Sony Xperia Z3 Compact
,Non-removable Li-Ion 3100 mAh battery,,"2.2 MP, f/2.8","16GB 3GB RAM, 32GB 3GB RAM","Android 4.4.4 (KitKat), upgradable to 6.0 (Marshmallow)",,"20.7 MP, f/2.0, 25mm (wide), 1/2.3"", 1.12µm, AF","2014, September","5.2 inches, 74.5 cm, (~70.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass, barometer",Sony Xperia Z3
,Non-removable Li-Ion 3200 mAh battery,,"2.2 MP, f/2.8",32GB 3GB RAM,"Android 4.4.4 (KitKat), upgradable to 5.1.1 (Lollipop)",,"20.7 MP, f/2.0, 25mm (wide), 1/2.3"", 1.12µm, AF","2014, October","5.2 inches, 74.5 cm, (~68.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass, barometer",Sony Xperia Z3v
,Non-removable Li-Ion 3100 mAh battery,,"2.2 MP, f/2.8","16GB 3GB RAM, 32GB 3GB RAM","Android 4.4.4 (KitKat), upgradable to 6.0 (Marshmallow)",,"20.7 MP, f/2.0, 25mm (wide), 1/2.3"", AF","2014, September","5.2 inches, 74.5 cm, (~70.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass, barometer",Sony Xperia Z3 Dual
,Non-removable Li-Ion 4500 mAh battery,,"2.2 MP, f/2.8",16GB 3GB RAM,"Android 4.4.2 (KitKat), upgradable to 6.0 (Marshmallow)",,"8.1 MP, AF","2014, September","8.0 inches, 185.6 cm, (~70.4% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~283 ppi density)","TFT  LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, compass, barometer",Sony Xperia Z3 Tablet Compact
,Non-removable Li-Ion 2330 mAh battery,,VGA,4GB 1GB RAM,Android 4.4.2 (KitKat),,"5 MP, f/2.4, AF","2014, September","4.5 inches, 55.8 cm, (~58.6% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Sony Xperia E3
,Non-removable Li-Ion 2330 mAh battery,,VGA,4GB 1GB RAM,Android 4.4.2 (KitKat),,"5 MP, AF","2014, September","4.5 inches, 55.8 cm, (~58.6% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Sony Xperia E3 Dual
,Non-removable Li-Ion 2300 mAh battery,,"2 MP, f/2.8",8GB 1GB RAM,Android 4.4.4 (KitKat),,"5 MP, f/2.6, AF","2015, February","5.0 inches, 68.9 cm, (~67.4% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity",Sony Xperia E4
,Non-removable Li-Ion 2300 mAh battery,,"2 MP, f/2.8",8GB 1GB RAM,Android 4.4.4 (KitKat),,"5 MP, f/2.6, AF","2015, February","5.0 inches, 68.9 cm, (~67.4% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity",Sony Xperia E4 Dual
,Non-removable Li-Ion 2300 mAh battery,,"2 MP, f/2.8",8GB 1GB RAM,Android 4.4.4 (KitKat),,"5 MP, f/2.8, AF","2015, February","4.7 inches, 60.9 cm, (~64.5% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~234 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity",Sony Xperia E4g Dual
,Non-removable Li-Ion 2300 mAh battery,,"2 MP, f/2.8",8GB 1GB RAM,Android 4.4.4 (KitKat),,"5 MP, f/2.8, AF","2015, February","4.7 inches, 60.9 cm, (~64.5% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~234 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity",Sony Xperia E4g
,Non-removable Li-Po 6000 mAh battery,,5.1 MP,32GB 3GB RAM,"Android 5.0 (Lollipop), 6.0 (Marshmallow), upgradable to 7.0 (Nougat)",,"8.1 MP, AF","2015, March","10.1 inches, 295.8 cm, (~69.7% screen-to-body ratio)","2560 x 1600 pixels, 16:10 ratio (~299 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, compass",Sony Xperia Z4 Tablet LTE
,Non-removable Li-Ion 2930 mAh battery,,"13 MP, f/2.2, 22mm (wide), AF",16GB 2GB RAM,"Android 5.0 (Lollipop), upgradable to 6.0 (Marshmallow)",,"13 MP, f/2.0, 25mm (wide), AF","2015, August","6.0 inches, 99.2 cm, (~75.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~367 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Sony Xperia C5 Ultra
,Non-removable Li-Po 6000 mAh battery,,2.2 MP,16GB 2GB RAM,"Android 4.1.2 (Jelly Bean), upgradable to 5.1.1 (Lollipop)",,"8.1 MP, AF","2013, February","10.1 inches, 295.8 cm, (~64.7% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~224 ppi density)","LED-backlit LCD, capacitive touchscreen, 16M colors","Accelerometer, gyro, compass",Sony Xperia Tablet Z LTE
,Non-removable Li-Ion 2370 mAh battery,,VGA,"8GB (5.8GB user available), 1GB RAM","Android 4.1 (Jelly Bean), upgradаble to 4.3 (Jelly Bean)",,"8 MP, f/2.4, AF","2013, March","4.6 inches, 58.3 cm, (~66.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~319 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Sony Xperia SP
,Removable Li-Ion 1750 mAh battery,,VGA,"8GB (5.8GB user available), 1GB RAM","Android 4.1 (Jelly Bean), upgradable to 4.2.2 (Jelly Bean)",,"8 MP, f/2.4, AF","2013, March. Released 2013, May","4.3 inches, 51.0 cm, (~60.9% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~228 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Sony Xperia L
,Removable Li-Ion 2300 mAh battery,,VGA,8GB 2GB RAM,"Android 4.1.2 (Jelly Bean), upgradable to 5.1.1 (Lollipop)",,"13.1 MP, f/2.4, AF","2013, May","4.55 inches, 57.1 cm, (~64.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~323 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Sony Xperia ZR
,Removable Li-Po 1750 mAh battery,,VGA,4GB 1GB RAM,"Android 4.1 (Jelly Bean)/ 4.2.2 - C2004/C2005 models, upgradable to 4.3 (Jelly Bean)",,"5 MP, f/2.8, AF","2013, June","4.0 inches, 44.1 cm, (~57.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~245 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Sony Xperia M
,Non-removable Li-Ion 2390 mAh battery,,VGA,4GB 1GB RAM,Android 4.2.2 (Jelly Bean),,"8 MP, f/2.6, AF","2013, June","5.0 inches, 68.9 cm, (~65.6% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Sony Xperia C
,Non-removable Li-Ion 3050 mAh battery,,2 MP,16GB 2GB RAM,"Android 4.2 (Jelly Bean), upgradable to 5.1 (Lollipop)",,"8 MP, f/2.4, AF","2013, June","6.4 inches, 112.9 cm, (~68.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~344 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Sony Xperia Z Ultra
,Non-removable Li-Ion 3000 mAh battery,,2 MP,16GB 2GB RAM,"Android 4.2 (Jelly Bean), upgradable to 5.1 (Lollipop)",,"20.7 MP, f/2.0, 27mm (wide), 1/2.3"", AF","2013, September","5.0 inches, 68.9 cm, (~64.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Sony Xperia Z1
,Non-removable Li-Ion 2300 mAh battery,,2 MP,16GB 2GB RAM,"Android 4.3 (Jelly Bean), upgradable to 5.1 (Lollipop)",,"20.7 MP, f/2.0, 1/2.3"", AF","2014, January","4.3 inches, 51.0 cm, (~61.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~342 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Sony Xperia Z1 Compact
,Non-removable Li-Ion 3000 mAh battery,,2 MP,32GB 2GB RAM,"Android 4.3 (Jelly Bean), upgradable to 5.1 (Lollipop)",,"20.7 MP, 1/2.3"", AF","2014, January","5.0 inches, 68.9 cm, (~64.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Sony Xperia Z1s
,Non-removable Li-Ion 3000 mAh battery,,1.1 MP,8GB 1GB RAM,"Android 4.3 (Jelly Bean), upgradable to 5.1 (Lollipop)",,"13 MP, f/2.3, AF","2014, January","6.0 inches, 99.2 cm, (~71.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Sony Xperia T2 Ultra
,Non-removable Li-Ion 3000 mAh battery,,1.1 MP,8GB 1GB RAM,"Android 4.3 (Jelly Bean), upgradable to 5.1.1 (Lollipop)",,"13 MP, AF","2014, January","6.0 inches, 99.2 cm, (~71.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Sony Xperia T2 Ultra dual
,Removable Li-Ion 1700 mAh battery,,No,4GB 512MB RAM,"Android 4.3 (Jelly Bean), upgradable to 4.4.2 (KitKat); Timescape UI",,"3.15 MP, f/2.5","2014, January","4.0 inches, 45.5 cm, (~61.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Sony Xperia E1
,Removable Li-Ion 1750 mAh battery,,No,4GB 512MB RAM,"Android 4.3 (Jelly Bean), upgradable to 4.4.2 (KitKat); Timescape UI",,3.15 MP,"2014, January","4.0 inches, 45.5 cm, (~61.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Sony Xperia E1 dual
,Non-removable Li-Ion 3200 mAh battery,,2.2 MP,16GB 3GB RAM,"Android 4.4.2 (KitKat), upgradable to 6.0 (Marshmallow)",,"20.7 MP, f/2.0, 1/2.3"", 1.12µm, AF","2014, February","5.2 inches, 74.5 cm, (~69.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass, barometer",Sony Xperia Z2
,Non-removable Li-Po 6000 mAh battery,,2.2 MP,"16GB 3GB RAM, 32GB 3GB RAM","Android 4.4.2 (KitKat), upgradable to 6.0 (Marshmallow)",,"8.1 MP, AF","2014, February","10.1 inches, 295.8 cm, (~64.7% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~224 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, gyro, compass",Sony Xperia Z2 Tablet Wi-Fi
,Removable Li-Ion 1530 mAh battery,,No,"4GB (2GB user available), 512MB RAM",Android 4.1 (Jelly Bean); Timescape UI,,3.15 MP,"2012, December","3.5 inches, 36.5 cm, (~52.0% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)","TFT capacitive touchscreen, 256K colors","Accelerometer, proximity",Sony Xperia E
,Removable Li-Ion 1530 mAh battery,,No,"4GB (2GB user available), 512MB RAM","Android 4.0.4 (Ice Cream Sandwich), upgradable to 4.1.1 (Jelly Bean); Timescape UI",,3.15 MP,"2012, December","3.5 inches, 36.5 cm, (~52.0% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)","TFT capacitive touchscreen, 256K colors","Accelerometer, proximity",Sony Xperia E dual
,Non-removable Li-Ion 2370 mAh  battery,,2 MP,16GB 2GB RAM,"Android 4.1.2 (Jelly Bean), upgradable to 5.1.1 (Lollipop)",,"13 MP, AF","2013, January. Released 2013, March","5.0 inches, 68.9 cm, (~75.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass, barometer (C6502 only)",Sony Xperia ZL
,Non-removable Li-Ion 2330 mAh battery,,2.2 MP,16GB 2GB RAM,"Android 4.1.2 (Jelly Bean), upgradable to 5.1.1 (Lollipop)",,"13.1 MP, f/2.4, AF","2013, January","5.0 inches, 68.9 cm, (~69.8% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Sony Xperia Z
,Non-removable Li-Po 6000 mAh battery,,2.2 MP,"16GB 2GB RAM, 32GB 2GB RAM","Android 4.1.2 (Jelly Bean), upgradable to 5.1.1 (Lollipop)",,"8.1 MP, AF","2013, February. Released 2013, May","10.1 inches, 295.8 cm, (~64.7% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~224 ppi density)","LED-backlit LCD, capacitive touchscreen, 16M colors","Accelerometer, gyro, compass",Sony Xperia Tablet Z Wi-Fi
,Non-removable Li-Po 6000 mAh battery,,2.2 MP,16GB 3GB RAM,"Android 4.4.2 (KitKat), upgradable to 5.1.1 (Lollipop)",,"8.1 MP, AF","2014, February","10.1 inches, 295.8 cm, (~64.7% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~224 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, gyro, compass",Sony Xperia Z2 Tablet LTE
,Non-removable Li-Ion 2300 mAh battery,,VGA,8GB 1GB RAM,"Android 4.3 (Jelly Bean), upgradable to 5.1 (Lollipop)",,"8 MP, AF","2014, February","4.8 inches, 63.5 cm, (~63.9% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~229 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Sony Xperia M2 dual
